channel_2_gain,noise_std,trials,mean_timing_error_us,median_timing_error_us,mean_distance_error_mm,median_distance_error_mm,percentile_90_distance_error_mm,percentile_95_distance_error_mm,maximum_distance_error_mm,success_rate_under_1mm_percent,failure_rate_above_1mm_percent
1.0,0.001,20.0,0.018518903682486522,0.01566040762012782,0.006351983963092877,0.005371519813703842,0.01307003648385244,0.014016675850241425,0.014064779620540261,100.0,0.0
0.98,0.001,20.0,0.019416503566927257,0.017050057504626445,0.00665986072345605,0.005848169724086872,0.01141929274249285,0.013198403192325245,0.013489175076174453,100.0,0.0
0.95,0.001,20.0,0.030834599569280745,0.03267806956932862,0.010576267652263296,0.011208577862279717,0.014926875278742221,0.01536882677522667,0.01543886419304695,100.0,0.0
0.9,0.001,20.0,0.025666263947515044,0.024217172062468838,0.008803528533997662,0.008306490017426813,0.013398650389955583,0.013924132442343716,0.015127726477007287,100.0,0.0
0.85,0.001,20.0,0.023484395381645755,0.0251979074413045,0.008055147615904494,0.008642882252367444,0.014238854069708661,0.01516775310926253,0.01535940046195485,100.0,0.0
0.8,0.001,20.0,0.023711972897029896,0.022123133784478,0.008133206703681253,0.007588234888075954,0.014031650238866157,0.015225875933973818,0.015282425657310465,100.0,0.0
1.0,0.01,20.0,0.08657223883851943,0.08413462723024992,0.029694277921612177,0.02885817713997572,0.047319490636039636,0.06558173611045406,0.08713711337013941,100.0,0.0
0.98,0.01,20.0,0.07339806287002751,0.07211718361609691,0.025175535564419444,0.02473619398032124,0.045422195660407796,0.05670230977229652,0.05958393795804214,100.0,0.0
0.95,0.01,20.0,0.06784145931215493,0.0643489800272018,0.02326962054406914,0.022071700149330218,0.041348350611741566,0.0439676833520023,0.05954273896405271,100.0,0.0
0.9,0.01,20.0,0.08931920799581403,0.07743717560839175,0.030636488342564216,0.026560951233678368,0.06030527717156011,0.07612591427866798,0.07681506567616889,100.0,0.0
0.85,0.01,20.0,0.06797796641185695,0.05396246845326644,0.023316442479266942,0.018509126679470383,0.05323532821992951,0.053856662710190836,0.059660218421318065,100.0,0.0
0.8,0.01,20.0,0.08289736584650631,0.07442454313695449,0.028433796485351666,0.025527618295975392,0.05011367366553905,0.05795297511112072,0.06232922151411248,100.0,0.0
1.0,0.03,20.0,0.21086084031508628,0.1554915730435564,0.07232526822807459,0.05333360955393985,0.16289853580225222,0.18261831501119155,0.19026777108822776,100.0,0.0
0.98,0.03,20.0,0.21910533507316,0.18742438632233527,0.07515312993009388,0.06428656450856099,0.12905268082368868,0.1491783199853657,0.2577192712961856,100.0,0.0
0.95,0.03,20.0,0.19448134792193947,0.13941610260240483,0.06670710233722524,0.04781972319262485,0.12310665802265779,0.12793351716163054,0.14709310647593912,100.0,0.0
0.9,0.03,20.0,0.20379478119325417,0.15167068941233866,0.06990160994928618,0.05202304646843216,0.148113883881185,0.15614584477887364,0.19022249147526646,100.0,0.0
0.85,0.03,20.0,0.20132155181648193,0.1869030464378526,0.0690532922730533,0.06410774492818344,0.14156449409207617,0.14743387618065687,0.19523476980331667,100.0,0.0
0.8,0.03,20.0,0.2784408645571264,0.29073863630146707,0.09550521654309438,0.09972335225140319,0.1637107799403504,0.19234888877282177,0.21597304801880346,100.0,0.0
1.0,0.05,20.0,0.3074333046421676,0.2542484471918514,0.10544962349226353,0.08720721738680504,0.22693741547284907,0.25826499903430206,0.2721751993434284,100.0,0.0
0.98,0.05,20.0,0.4842388458643117,0.41117620539620847,0.1660939241314589,0.14103343845089952,0.34562629035171893,0.35268335233066384,0.46416164988405106,100.0,0.0
0.95,0.05,20.0,0.2678227105643656,0.20968169476754459,0.09186318972357739,0.07192082130526779,0.19276023171728585,0.20258144579705356,0.33751670616430085,100.0,0.0
